timestamp,pattern,sti
2026-03-10 11:44:21.632987,tropical,600.0
2026-03-10 11:44:21.690193,tropical,360.0
2026-03-10 11:44:21.886424,tropical,360.0
2026-03-10 11:44:21.886444,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:21.956802,tropical,360.0
2026-03-10 11:44:21.956821,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:21.956830,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.024694,tropical,360.0
2026-03-10 11:44:22.024713,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.024722,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.024725,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.093334,tropical,360.0
2026-03-10 11:44:22.093352,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.093360,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.093363,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.093366,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.093907,tropical,360.0
2026-03-10 11:44:22.093929,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.093938,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.093941,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.093944,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.093947,magots,600.0
2026-03-10 11:44:22.094303,tropical,360.0
2026-03-10 11:44:22.094309,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.094314,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.094316,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.094319,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.094322,magots,600.0
2026-03-10 11:44:22.094323,are,600.0
2026-03-10 11:44:22.094562,tropical,360.0
2026-03-10 11:44:22.094567,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.094571,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.094574,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.094576,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.094579,magots,600.0
2026-03-10 11:44:22.094581,are,600.0
2026-03-10 11:44:22.094582,often,600.0
2026-03-10 11:44:22.126730,tropical,360.0
2026-03-10 11:44:22.126752,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.126761,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.126764,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.126767,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.126770,magots,600.0
2026-03-10 11:44:22.126771,are,600.0
2026-03-10 11:44:22.126773,often,600.0
2026-03-10 11:44:22.126775,much,600.0
2026-03-10 11:44:22.127216,tropical,360.0
2026-03-10 11:44:22.127223,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.127228,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.127231,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.127233,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.127236,magots,600.0
2026-03-10 11:44:22.127237,are,600.0
2026-03-10 11:44:22.127239,often,600.0
2026-03-10 11:44:22.127241,much,600.0
2026-03-10 11:44:22.127242,bigger,600.0
2026-03-10 11:44:22.127505,tropical,360.0
2026-03-10 11:44:22.127511,(insynset tropical tropical_s_03),60.0
2026-03-10 11:44:22.127515,(insynset tropical tropical_s_02),60.0
2026-03-10 11:44:22.127518,(insynset tropical tropical_s_01),60.0
2026-03-10 11:44:22.127521,(insynset tropical tropical_a_02),60.0
2026-03-10 11:44:22.127523,magots,600.0
