timestamp,counter,af_resource,sti_concentration,link_density,connection_ratio,normalized_sti_entropy,retention,p_correlation,modulation
2026-04-22 18:34:06.999937,0,1,1.0,0.0,0.0,0.0,0,0.0,0.0
2026-04-22 18:34:07.001494,1,1,1.0,0,0.0,1.0,NaN,0.0,0.0
2026-04-22 18:34:07.003060,2,1,1.0,0,0.0,0.9999999999999999,NaN,0.0,0.0
2026-04-22 18:34:07.004810,3,1,1.0,0,0.0,1.0,NaN,0.0,0.0
2026-04-22 18:34:07.006792,4,1,1.0,0,0.0,1.0,NaN,0.0,0.0
2026-04-22 18:34:07.008985,5,1,1.0,0,0.0,1.0,NaN,0.0,0.0
2026-04-22 18:34:07.011448,6,1,1.0,0,0.0,1.0000000000000002,NaN,0.0,0.0
2026-04-22 18:34:07.014239,7,1,1.0,0,0.0,1.0,NaN,0.0,0.0
2026-04-22 18:34:07.017219,8,1,1.0,0,0.0,0.9999999999999999,NaN,0.0,0.0
2026-04-22 18:34:07.020552,9,1,1.0,0,0.0,0.9999999999999999,NaN,0.0,0.0
2026-04-22 18:34:09.201086,10,0.2247191011235955,0.8811229946524042,0.007703081232492998,1,0.5698450482991972,0.08333333333333333,0.9165110946335596,0.1792781334627156
2026-04-22 18:34:09.332221,11,0.15514018691588785,0.8733333333333331,0.01616220981486923,1,0.5678604381388205,NaN,0.9234389098624425,0.20043557235689324
2026-04-22 18:34:09.464809,12,0.15671641791044777,0.8830769230769244,0.015777395295467584,1,0.5671777114908839,NaN,0.929290523381844,0.22143401916493544
2026-04-22 18:34:09.595906,13,0.15828677839851024,0.8914285714285713,0.015406162464985995,1,0.5674440584923391,NaN,0.9342972668042413,0.24227480846473476
2026-04-22 18:34:09.729318,14,0.15985130111524162,0.8986666666666644,0.015047879616963064,1,0.5684106035453963,NaN,0.9386290182579635,0.26295926159921834
2026-04-22 18:34:09.860277,15,0.1614100185528757,0.905000000000004,0.014701951349906442,1,0.5698980748868382,NaN,0.9424131925107971,0.2834886868298065
2026-04-22 18:34:09.991619,16,0.16296296296296298,0.9105882352941351,0.014367816091954023,1,0.5717750276669145,NaN,0.9457471565504104,0.3038643794877893
2026-04-22 18:34:10.126530,17,0.1645101663585952,0.9155555555555811,0.014044943820224719,1,0.573943616804615,NaN,0.9487065563074575,0.32408762212372705
