FUNDS_STI,AFRentFrequency,elapsed_seconds,threshold_seconds,passes_threshold,base_rent_before_timer,timer_weight,sti_rent_collected,ending_atom_sti,ending_FUNDS_STI
1000.0,2.0,0.05,0.5,False,0.0,0.0,0.0,100.0,1000.0
1000.0,2.0,0.1,0.5,False,0.0,0.0,0.0,100.0,1000.0
1000.0,2.0,0.15,0.5,False,0.0,0.0,0.0,100.0,1000.0
1000.0,2.0,0.25,0.5,False,0.0,0.0,0.0,100.0,1000.0
1000.0,2.0,0.5,0.5,True,0.0,1.0,0.0,100.0,1000.0
1000.0,2.0,1.0,0.5,True,0.0,2.0,0.0,100.0,1000.0
1000.0,5.0,0.02,0.2,False,0.0,0.0,0.0,100.0,1000.0
1000.0,5.0,0.05,0.2,False,0.0,0.0,0.0,100.0,1000.0
1000.0,5.0,0.1,0.2,False,0.0,0.0,0.0,100.0,1000.0
1000.0,5.0,0.15,0.2,False,0.0,0.0,0.0,100.0,1000.0
1000.0,5.0,0.25,0.2,True,0.0,1.25,0.0,100.0,1000.0
1000.0,5.0,0.5,0.2,True,0.0,2.5,0.0,100.0,1000.0
1000.0,5.0,1.0,0.2,True,0.0,5.0,0.0,100.0,1000.0
1000.0,10.0,0.02,0.1,False,0.0,0.0,0.0,100.0,1000.0
1000.0,10.0,0.05,0.1,False,0.0,0.0,0.0,100.0,1000.0
1000.0,10.0,0.1,0.1,True,0.0,1.0,0.0,100.0,1000.0
1000.0,10.0,0.15,0.1,True,0.0,1.5,0.0,100.0,1000.0
1000.0,10.0,0.25,0.1,True,0.0,2.5,0.0,100.0,1000.0
1000.0,10.0,0.5,0.1,True,0.0,5.0,0.0,100.0,1000.0
1000.0,10.0,1.0,0.1,True,0.0,10.0,0.0,100.0,1000.0
1000.0,20.0,0.02,0.05,False,0.0,0.0,0.0,100.0,1000.0
1000.0,20.0,0.05,0.05,True,0.0,1.0,0.0,100.0,1000.0
1000.0,20.0,0.1,0.05,True,0.0,2.0,0.0,100.0,1000.0
1000.0,20.0,0.15,0.05,True,0.0,3.0,0.0,100.0,1000.0
1000.0,20.0,0.25,0.05,True,0.0,5.0,0.0,100.0,1000.0
1000.0,20.0,0.5,0.05,True,0.0,10.0,0.0,100.0,1000.0
1000.0,20.0,1.0,0.05,True,0.0,20.0,0.0,100.0,1000.0
1000.0,50.0,0.02,0.02,True,0.0,1.0,0.0,100.0,1000.0
1000.0,50.0,0.05,0.02,True,0.0,2.5,0.0,100.0,1000.0
1000.0,50.0,0.1,0.02,True,0.0,5.0,0.0,100.0,1000.0
1000.0,50.0,0.15,0.02,True,0.0,7.5,0.0,100.0,1000.0
1000.0,50.0,0.25,0.02,True,0.0,12.5,0.0,100.0,1000.0
1000.0,50.0,0.5,0.02,True,0.0,25.0,0.0,100.0,1000.0
1000.0,50.0,1.0,0.02,True,0.0,50.0,0.0,100.0,1000.0
1100.0,2.0,0.02,0.5,False,0.0,0.0,0.0,100.0,1100.0
1100.0,2.0,0.05,0.5,False,0.0,0.0,0.0,100.0,1100.0
1100.0,2.0,0.1,0.5,False,0.0,0.0,0.0,100.0,1100.0
1100.0,2.0,0.15,0.5,False,0.0,0.0,0.0,100.0,1100.0
1100.0,2.0,0.25,0.5,False,0.0,0.0,0.0,100.0,1100.0
1100.0,2.0,0.5,0.5,True,0.0,1.0,0.0,100.0,1100.0
1100.0,2.0,1.0,0.5,True,0.0,2.0,0.0,100.0,1100.0
1100.0,5.0,0.02,0.2,False,0.0,0.0,0.0,100.0,1100.0
1100.0,5.0,0.05,0.2,False,0.0,0.0,0.0,100.0,1100.0
1100.0,5.0,0.1,0.2,False,0.0,0.0,0.0,100.0,1100.0
1100.0,5.0,0.15,0.2,False,0.0,0.0,0.0,100.0,1100.0
1100.0,5.0,0.25,0.2,True,0.0,1.25,0.0,100.0,1100.0
1100.0,5.0,0.5,0.2,True,0.0,2.5,0.0,100.0,1100.0
1100.0,5.0,1.0,0.2,True,0.0,5.0,0.0,100.0,1100.0
1100.0,10.0,0.02,0.1,False,0.0,0.0,0.0,100.0,1100.0
1100.0,10.0,0.05,0.1,False,0.0,0.0,0.0,100.0,1100.0
1100.0,10.0,0.1,0.1,True,0.0,1.0,0.0,100.0,1100.0
1100.0,10.0,0.15,0.1,True,0.0,1.5,0.0,100.0,1100.0
1100.0,10.0,0.25,0.1,True,0.0,2.5,0.0,100.0,1100.0
1100.0,10.0,0.5,0.1,True,0.0,5.0,0.0,100.0,1100.0
1100.0,10.0,1.0,0.1,True,0.0,10.0,0.0,100.0,1100.0
1100.0,20.0,0.02,0.05,False,0.0,0.0,0.0,100.0,1100.0
1100.0,20.0,0.05,0.05,True,0.0,1.0,0.0,100.0,1100.0
1100.0,20.0,0.1,0.05,True,0.0,2.0,0.0,100.0,1100.0
1100.0,20.0,0.15,0.05,True,0.0,3.0,0.0,100.0,1100.0
1100.0,20.0,0.25,0.05,True,0.0,5.0,0.0,100.0,1100.0
1100.0,20.0,0.5,0.05,True,0.0,10.0,0.0,100.0,1100.0
1100.0,20.0,1.0,0.05,True,0.0,20.0,0.0,100.0,1100.0
1100.0,50.0,0.02,0.02,True,0.0,1.0,0.0,100.0,1100.0
1100.0,50.0,0.05,0.02,True,0.0,2.5,0.0,100.0,1100.0
1100.0,50.0,0.1,0.02,True,0.0,5.0,0.0,100.0,1100.0
1100.0,50.0,0.15,0.02,True,0.0,7.5,0.0,100.0,1100.0
1100.0,50.0,0.25,0.02,True,0.0,12.5,0.0,100.0,1100.0
1100.0,50.0,0.5,0.02,True,0.0,25.0,0.0,100.0,1100.0
1100.0,50.0,1.0,0.02,True,0.0,50.0,0.0,100.0,1100.0
