FUNDS_STI,TARGET_STI,AFRentCoverageRatio,AFRentMaxCollectionRate,atom_stis,fundGap,desiredCollection,floorSti,capacities,totalCapacity,maxCollectible,collectionBudget,atom_rents,ending_atom_stis,ending_FUNDS_STI
750.0,1000.0,0.5,0.5,20 20 100,250.0,125.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,790.0
750.0,1000.0,0.5,0.5,80 100 200,250.0,125.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,820.0
750.0,1000.0,0.5,0.5,20 20 20,250.0,125.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,0.5,1.0,20 100 200,250.0,125.0,20.0,0 80 180,260.0,260.0,125.0,0 38.4615 86.5385,20 61.5385 113.462,875.0
750.0,1000.0,0.5,1.0,20 20 100,250.0,125.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,830.0
750.0,1000.0,0.5,1.0,80 100 200,250.0,125.0,80.0,0 20 120,140.0,140.0,125.0,0 17.8571 107.143,80 82.1429 92.8571,875.0
750.0,1000.0,0.5,1.0,20 20 20,250.0,125.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.0,0.1,20 100 200,250.0,250.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,776.0
750.0,1000.0,1.0,0.1,20 20 100,250.0,250.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,758.0
750.0,1000.0,1.0,0.1,80 100 200,250.0,250.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,764.0
750.0,1000.0,1.0,0.1,20 20 20,250.0,250.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.0,0.25,20 100 200,250.0,250.0,20.0,0 80 180,260.0,65.0,65.0,0 20 45,20 80 155,815.0
750.0,1000.0,1.0,0.25,20 20 100,250.0,250.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,770.0
750.0,1000.0,1.0,0.25,80 100 200,250.0,250.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,785.0
750.0,1000.0,1.0,0.25,20 20 20,250.0,250.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.0,0.5,20 100 200,250.0,250.0,20.0,0 80 180,260.0,130.0,130.0,0 40 90,20 60 110,880.0
750.0,1000.0,1.0,0.5,20 20 100,250.0,250.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,790.0
750.0,1000.0,1.0,0.5,80 100 200,250.0,250.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,820.0
750.0,1000.0,1.0,0.5,20 20 20,250.0,250.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.0,1.0,20 100 200,250.0,250.0,20.0,0 80 180,260.0,260.0,250.0,0 76.9231 173.077,20 23.0769 26.9231,1000.0
750.0,1000.0,1.0,1.0,20 20 100,250.0,250.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,830.0
750.0,1000.0,1.0,1.0,80 100 200,250.0,250.0,80.0,0 20 120,140.0,140.0,140.0,0 20 120,80 80 80,890.0
750.0,1000.0,1.0,1.0,20 20 20,250.0,250.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.2,0.1,20 100 200,250.0,300.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,776.0
750.0,1000.0,1.2,0.1,20 20 100,250.0,300.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,758.0
750.0,1000.0,1.2,0.1,80 100 200,250.0,300.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,764.0
750.0,1000.0,1.2,0.1,20 20 20,250.0,300.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.2,0.25,20 100 200,250.0,300.0,20.0,0 80 180,260.0,65.0,65.0,0 20 45,20 80 155,815.0
750.0,1000.0,1.2,0.25,20 20 100,250.0,300.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,770.0
750.0,1000.0,1.2,0.25,80 100 200,250.0,300.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,785.0
750.0,1000.0,1.2,0.25,20 20 20,250.0,300.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.2,0.5,20 100 200,250.0,300.0,20.0,0 80 180,260.0,130.0,130.0,0 40 90,20 60 110,880.0
750.0,1000.0,1.2,0.5,20 20 100,250.0,300.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,790.0
750.0,1000.0,1.2,0.5,80 100 200,250.0,300.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,820.0
750.0,1000.0,1.2,0.5,20 20 20,250.0,300.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
750.0,1000.0,1.2,1.0,20 100 200,250.0,300.0,20.0,0 80 180,260.0,260.0,260.0,0 80 180,20 20 20,1010.0
750.0,1000.0,1.2,1.0,20 20 100,250.0,300.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,830.0
750.0,1000.0,1.2,1.0,80 100 200,250.0,300.0,80.0,0 20 120,140.0,140.0,140.0,0 20 120,80 80 80,890.0
750.0,1000.0,1.2,1.0,20 20 20,250.0,300.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,750.0
900.0,1000.0,0.5,0.1,20 100 200,100.0,50.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,926.0
900.0,1000.0,0.5,0.1,20 20 100,100.0,50.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,908.0
900.0,1000.0,0.5,0.1,80 100 200,100.0,50.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,914.0
900.0,1000.0,0.5,0.1,20 20 20,100.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,0.5,0.25,20 100 200,100.0,50.0,20.0,0 80 180,260.0,65.0,50.0,0 15.3846 34.6154,20 84.6154 165.385,950.0
900.0,1000.0,0.5,0.25,20 20 100,100.0,50.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,920.0
900.0,1000.0,0.5,0.25,80 100 200,100.0,50.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,935.0
900.0,1000.0,0.5,0.25,20 20 20,100.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,0.5,0.5,20 100 200,100.0,50.0,20.0,0 80 180,260.0,130.0,50.0,0 15.3846 34.6154,20 84.6154 165.385,950.0
900.0,1000.0,0.5,0.5,20 20 100,100.0,50.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,940.0
900.0,1000.0,0.5,0.5,80 100 200,100.0,50.0,80.0,0 20 120,140.0,70.0,50.0,0 7.14286 42.8571,80 92.8571 157.143,950.0
900.0,1000.0,0.5,0.5,20 20 20,100.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,0.5,1.0,20 100 200,100.0,50.0,20.0,0 80 180,260.0,260.0,50.0,0 15.3846 34.6154,20 84.6154 165.385,950.0
900.0,1000.0,0.5,1.0,20 20 100,100.0,50.0,20.0,0 0 80,80.0,80.0,50.0,0 0 50,20 20 50,950.0
900.0,1000.0,0.5,1.0,80 100 200,100.0,50.0,80.0,0 20 120,140.0,140.0,50.0,0 7.14286 42.8571,80 92.8571 157.143,950.0
900.0,1000.0,0.5,1.0,20 20 20,100.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.0,0.1,20 100 200,100.0,100.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,926.0
900.0,1000.0,1.0,0.1,20 20 100,100.0,100.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,908.0
900.0,1000.0,1.0,0.1,80 100 200,100.0,100.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,914.0
900.0,1000.0,1.0,0.1,20 20 20,100.0,100.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.0,0.25,20 100 200,100.0,100.0,20.0,0 80 180,260.0,65.0,65.0,0 20 45,20 80 155,965.0
900.0,1000.0,1.0,0.25,20 20 100,100.0,100.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,920.0
900.0,1000.0,1.0,0.25,80 100 200,100.0,100.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,935.0
900.0,1000.0,1.0,0.25,20 20 20,100.0,100.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.0,0.5,20 100 200,100.0,100.0,20.0,0 80 180,260.0,130.0,100.0,0 30.7692 69.2308,20 69.2308 130.769,1000.0
900.0,1000.0,1.0,0.5,20 20 100,100.0,100.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,940.0
900.0,1000.0,1.0,0.5,80 100 200,100.0,100.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,970.0
900.0,1000.0,1.0,0.5,20 20 20,100.0,100.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.0,1.0,20 100 200,100.0,100.0,20.0,0 80 180,260.0,260.0,100.0,0 30.7692 69.2308,20 69.2308 130.769,1000.0
900.0,1000.0,1.0,1.0,20 20 100,100.0,100.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,980.0
900.0,1000.0,1.0,1.0,80 100 200,100.0,100.0,80.0,0 20 120,140.0,140.0,100.0,0 14.2857 85.7143,80 85.7143 114.286,1000.0
900.0,1000.0,1.0,1.0,20 20 20,100.0,100.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.2,0.1,20 100 200,100.0,120.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,926.0
900.0,1000.0,1.2,0.1,20 20 100,100.0,120.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,908.0
900.0,1000.0,1.2,0.1,80 100 200,100.0,120.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,914.0
900.0,1000.0,1.2,0.1,20 20 20,100.0,120.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.2,0.25,20 100 200,100.0,120.0,20.0,0 80 180,260.0,65.0,65.0,0 20 45,20 80 155,965.0
900.0,1000.0,1.2,0.25,20 20 100,100.0,120.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,920.0
900.0,1000.0,1.2,0.25,80 100 200,100.0,120.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,935.0
900.0,1000.0,1.2,0.25,20 20 20,100.0,120.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.2,0.5,20 100 200,100.0,120.0,20.0,0 80 180,260.0,130.0,120.0,0 36.9231 83.0769,20 63.0769 116.923,1020.0
900.0,1000.0,1.2,0.5,20 20 100,100.0,120.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,940.0
900.0,1000.0,1.2,0.5,80 100 200,100.0,120.0,80.0,0 20 120,140.0,70.0,70.0,0 10 60,80 90 140,970.0
900.0,1000.0,1.2,0.5,20 20 20,100.0,120.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
900.0,1000.0,1.2,1.0,20 100 200,100.0,120.0,20.0,0 80 180,260.0,260.0,120.0,0 36.9231 83.0769,20 63.0769 116.923,1020.0
900.0,1000.0,1.2,1.0,20 20 100,100.0,120.0,20.0,0 0 80,80.0,80.0,80.0,0 0 80,20 20 20,980.0
900.0,1000.0,1.2,1.0,80 100 200,100.0,120.0,80.0,0 20 120,140.0,140.0,120.0,0 17.1429 102.857,80 82.8571 97.1429,1020.0
900.0,1000.0,1.2,1.0,20 20 20,100.0,120.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,900.0
950.0,1000.0,0.5,0.1,20 100 200,50.0,25.0,20.0,0 80 180,260.0,26.0,25.0,0 7.69231 17.3077,20 92.3077 182.692,975.0
